"","CR.AZ","CR.CA","CR.NM","CR.TX"
"1",20.6344479370269,10.0457624388694,17.182054349192,12.0482795884855
"2",18.9462094360091,10.0409987023648,16.9339823704638,12.045582859877
"3",17.8674103513684,10.0383766243518,16.2893971949236,12.0410374280513
"4",16.9549812106928,10.0341176177836,16.4119950339925,12.0385035861818
"5",16.3286206767038,10.0296049720594,16.4158997370552,12.0367289949565
"6",16.3052250483206,10.0277744252695,16.7413931878905,12.0343459554939
"7",15.6666843941959,10.0254649709831,16.6418406481003,12.031444382407
"8",15.4686682344573,10.0239460513622,16.4767745999546,12.0290620931909
"9",14.7663641356582,10.0219681546208,16.3978985081574,12.0257535970332
"10",14.2063313098395,10.0201247380379,16.4467433501231,12.02287464658
"11",13.9522284640409,10.0183657122421,16.1695336450687,12.0210900341821
"12",13.6307856352847,10.0153643663446,15.7094316190375,12.018587198355
"13",13.2050788323196,10.0153554064072,15.3321659264663,12.0170068367214
"14",12.8905809679411,10.0131691986754,15.512345544036,12.0146584671662
"15",12.5819202115369,10.0090158684143,14.4509436970467,12.0088973776941
"16",12.4628156235899,10.0071507991234,14.4743999755814,12.0096369888487
"17",12.3916568953879,10.0063887311892,14.0240965363976,12.0080026279763
"18",12.3496485193451,10.0058113142581,13.4831684589352,12.0054786256836
"19",12.3314633183554,10.0056130234493,13.349865188355,12.0051306686304
"20",12.2490851895998,10.0041470614081,13.1523529312843,12.0035858757778
"21",12.1950262622326,10.0026972020077,12.9054106796887,12.0028318916723
"22",12.1827454970877,10.0025551100487,12.8446859192117,12.0024959119644
"23",12.1994452404372,10.0028401692073,13.0960997493236,12.0028351385255
"24",12.2226486769592,10.0036154355648,13.1642232104682,12.0030083034687
"25",12.213872536419,10.0034711325714,13.0796046431614,12.0028722963197
"26",10.2012816227854,10.003504156052,13.1650522913984,12.0032259979643
"27",10.2470650389639,10.0050450876682,13.3976551094626,12.0047840117932
"28",10.2332091510785,10.0047478885148,13.3288415731159,12.0047985451722
"29",10.2340088416891,10.0045994199844,13.3285946016777,10.0046692847134
"30",10.2182226311419,10.0041418574569,13.2444514148668,10.0046860042162
"31",10.2022067290409,10.0036681951834,13.0962859953507,10.0040245005458
"32",10.2196155267731,10.0040804009315,13.1081621670293,10.0041959044973
"33",10.1999620313996,10.0039271369609,13.1490063490977,10.0043228083441
"34",10.1871117839687,10.0043241343856,13.0717250071226,10.0042780966072
"35",10.1868750355502,10.0042423003717,13.1262725656028,10.0040025569814
"36",10.186980833602,10.0042724596045,13.2612035891424,10.0041913069524
"37",10.1562874486015,10.0041486302798,13.0596626904099,10.003157275048
"38",10.1539823880795,10.0039029443017,12.8825381071715,10.0031053289968
"39",10.1587251058894,10.0044381856763,12.9076114186851,10.0037970374023
"40",10.1383961813965,10.0039315268065,12.808927411157,10.0034907473346
"41",10.1021302597742,10.002753021446,12.5984830373776,10.0021711486222
"42",10.1047734021495,10.0024781327423,12.5699645477767,10.0022539914036
"43",10.1121031141912,10.0027695258317,12.6691347787666,10.0026309534247
"44",10.090522856793,10.002182035688,12.5788449646692,10.0020083126251
"45",10.0711715341798,10.0018647763444,12.456718756364,10.0015752743661
"46",10.0531042004103,10.0015130364536,12.3401851604772,10.0012596623457
"47",10.0444435047057,10.0013003753002,12.2938974893281,10.0009686932773
"48",10.0414474906472,10.0012619581646,12.2638884355356,10.0009143885394
"49",10.0347828114946,10.0010685487273,12.2290287571293,10.0007382146288
"50",10.0580197910282,10.0017496682654,12.3916005210061,10.0014179549804
"51",10.0452087847351,10.0013357320158,12.3394657941243,10.001116143351
"52",10.0432108302631,10.0012465468948,12.3192932731484,10.001007999699
"53",10.0399808397097,10.0011629345792,12.3034600439303,10.0009197169734
"54",10.0362854389817,10.0010869504921,12.2863928454191,10.0008415573047
"55",10.0327939899544,10.001013642868,12.2712208938817,10.0007714070625
"56",10.0298418816736,10.0009452018962,12.2569625348053,10.000709846067
"57",10.0271084826241,10.0008801608278,12.2435261209313,10.0006547653176
"58",10.0246966012014,10.0008203917042,12.2309815743257,10.0006052834115
"59",10.0225376353165,10.0007645548659,12.2187130156474,10.0005608862041
"60",10.0205705609583,10.0007136722071,12.2074366477947,10.0005206369208
"61",10.0187584908579,10.0006653025087,12.1968146920123,10.0004842590457
"62",10.0170878018875,10.0006202343911,12.1868020609806,10.0004510883487
"63",10.0155567630777,10.0005780686504,12.1773797539909,10.0004208016676
"64",10.0141661185751,10.0005389157112,12.1684729457646,10.0003929889046
"65",10.0129062360276,10.000502356485,12.1600646915348,10.0003675513509
"66",10.0117745809532,10.0004683668508,12.1522661289066,10.0003441619591
"67",10.010769896294,10.0004367037262,12.1447760601362,10.0003226510284
"68",10.0098408230737,10.0004072102433,12.1377136718475,10.000302757484
"69",10.0089949795282,10.0003797932192,12.1309426100163,10.000284360323
"70",10.008219634548,10.0003542034324,12.1246029335959,10.0002673180028
"71",10.007510653273,10.0003303617958,12.1186184740612,10.0002515070228
"72",10.0068634525778,10.0003081466723,12.1129485148618,10.000236818054
"73",10.0062737920772,10.0002873700291,12.1075990458366,10.0002231539008
"74",10.0057371363126,10.0002680699822,12.1025116953735,10.0002104263173
"75",10.0052486344083,10.0002500978491,12.0976841396134,10.0001985583069
"76",10.0048034423262,10.0002333412303,12.0931000504459,10.0001874802623
"77",10.0043971091523,10.0002177985862,12.0887682556657,10.0001771288837
"78",10.0040257931268,10.0002032401101,12.0846545247299,10.0001674473528
"79",10.0036862750247,10.0001896693127,12.0807508751112,10.0001583845313
"80",10.0033758504637,10.0001770180369,12.0770455227334,10.0001498920805
"81",10.0030921183504,10.0001652241904,12.0735273369134,10.000141930214
"82",10.0028328604889,10.0001542325667,12.0701858498565,10.0001344586688
"83",10.0025959708666,10.0001439792425,12.0670115087793,10.0001274426051
"84",10.0023794533272,10.0001344182683,12.0639976103763,10.0001208496191
"85",10.002181453872,10.000125502243,12.0611305037758,10.0001146501445
"86",10.0020002896315,10.0001171870403,12.0584045581586,10.0001088169596
"87",10.0018344605234,10.0001094315791,12.0558121917899,10.0001033251692
"88",10.0016826287371,10.0001021976216,12.0533462293367,10.0000981517961
"89",10.001543600472,10.0000954524346,12.0509998654571,10.0000932752736
"90",10.0014162906411,10.0000891569368,12.0487668861833,10.0000886765014
"91",10.0012997031948,10.0000832833461,12.0466412437331,10.0000843372879
